 Community/Caste  , Male  , Female  , Total  
 Hindu  ,762,532,651
 Muslim  ,676,501,591
 Christian  ,844,762,803
 Sikh  ,752,631,694
 Buddhist  ,831,617,727
 Others  ,608,332,470
 Scheduled Castes  ,666,419,547
